id,label
1,deer
2,airplane
3,automobile
4,ship
5,airplane
6,cat
7,airplane
8,cat
9,automobile
10,deer
11,bird
12,deer
13,deer
14,deer
15,dog
16,airplane
17,deer
18,deer
19,airplane
20,deer
21,airplane
22,ship
23,frog
24,automobile
25,bird
26,truck
27,automobile
28,cat
29,dog
30,cat
31,cat
32,horse
33,dog
34,frog
35,deer
36,cat
37,cat
38,dog
39,ship
40,dog
41,bird
42,bird
43,truck
44,deer
45,horse
46,automobile
47,deer
48,bird
49,airplane
50,truck
51,bird
52,horse
53,dog
54,frog
55,ship
56,ship
57,deer
58,deer
59,airplane
60,ship
61,bird
62,dog
63,deer
64,frog
65,ship
66,cat
67,ship
68,horse
69,bird
70,frog
71,truck
72,bird
73,truck
74,deer
75,frog
76,truck
77,airplane
78,deer
79,horse
80,dog
81,bird
82,deer
83,ship
84,deer
85,deer
86,frog
87,dog
88,frog
89,frog
90,airplane
91,truck
92,airplane
93,deer
94,horse
95,automobile
96,frog
97,deer
98,bird
99,truck
100,bird
101,deer
102,airplane
103,horse
104,cat
105,ship
106,bird
107,automobile
108,frog
109,frog
110,frog
111,deer
112,bird
113,deer
114,airplane
115,truck
116,horse
117,truck
118,horse
119,airplane
120,frog
121,deer
122,truck
123,horse
124,deer
125,ship
126,cat
127,airplane
128,dog
129,ship
130,cat
131,ship
132,deer
133,deer
134,truck
135,automobile
136,cat
137,cat
138,frog
139,dog
140,automobile
141,frog
142,dog
143,deer
144,deer
145,frog
146,truck
147,frog
148,automobile
149,dog
150,frog
151,ship
152,cat
153,dog
154,ship
155,truck
156,horse
157,airplane
158,ship
159,truck
160,deer
161,deer
162,frog
163,frog
164,dog
165,frog
166,automobile
167,frog
168,deer
169,truck
170,frog
171,frog
172,cat
173,ship
174,frog
175,bird
176,ship
177,cat
178,automobile
179,bird
180,automobile
181,frog
182,truck
183,deer
184,frog
185,frog
186,dog
187,ship
188,truck
189,dog
190,airplane
191,automobile
192,ship
193,airplane
194,cat
195,truck
196,deer
197,automobile
198,cat
199,ship
200,bird
201,ship
202,cat
203,airplane
204,cat
205,airplane
206,bird
207,cat
208,deer
209,bird
210,cat
211,automobile
212,horse
213,deer
214,frog
215,cat
216,bird
217,dog
218,airplane
219,cat
220,automobile
221,frog
222,airplane
223,deer
224,deer
225,automobile
226,truck
227,horse
228,cat
229,horse
230,truck
231,ship
232,deer
233,deer
234,ship
235,horse
236,frog
237,deer
238,deer
239,truck
240,airplane
241,automobile
242,deer
243,deer
244,cat
245,cat
246,horse
247,bird
248,truck
249,horse
250,ship
251,airplane
252,airplane
253,frog
254,airplane
255,frog
256,deer
257,frog
258,ship
259,deer
260,airplane
261,frog
262,automobile
263,horse
264,deer
265,frog
266,deer
267,cat
268,bird
269,bird
270,truck
271,dog
272,airplane
273,dog
274,dog
275,horse
276,frog
277,frog
278,horse
279,frog
280,cat
281,automobile
282,bird
283,cat
284,truck
285,frog
286,automobile
287,ship
288,truck
289,cat
290,deer
291,automobile
292,deer
293,airplane
294,deer
295,frog
296,frog
297,deer
298,deer
299,ship
300,truck
301,ship
302,deer
303,frog
304,deer
305,frog
306,automobile
307,airplane
308,dog
309,frog
310,dog
311,automobile
312,frog
313,deer
314,truck
315,truck
316,frog
317,cat
318,deer
319,truck
320,frog
321,horse
322,horse
323,ship
324,dog
325,horse
326,ship
327,deer
328,dog
329,deer
330,truck
331,bird
332,airplane
333,bird
334,bird
335,deer
336,deer
337,dog
338,frog
339,deer
340,ship
341,ship
342,frog
343,deer
344,bird
345,ship
346,ship
347,automobile
348,horse
349,cat
350,truck
351,bird
352,truck
353,bird
354,airplane
355,ship
356,frog
357,airplane
358,deer
359,airplane
360,dog
361,horse
362,airplane
363,airplane
364,ship
365,frog
366,deer
367,dog
368,truck
369,ship
370,deer
371,frog
372,dog
373,cat
374,airplane
375,truck
376,airplane
377,frog
378,frog
379,automobile
380,dog
381,truck
382,airplane
383,airplane
384,ship
385,deer
386,cat
387,ship
388,dog
389,airplane
390,dog
391,frog
392,deer
393,bird
394,frog
395,frog
396,airplane
397,frog
398,deer
399,dog
400,airplane
401,airplane
402,truck
403,deer
404,truck
405,deer
406,airplane
407,automobile
408,truck
409,bird
410,bird
411,horse
412,deer
413,ship
414,airplane
415,automobile
416,frog
417,deer
418,deer
419,bird
