id,label
1,deer
2,airplane
3,automobile
4,ship
5,airplane
6,cat
7,airplane
8,cat
9,horse
10,dog
11,bird
12,cat
13,deer
14,cat
15,dog
16,airplane
17,deer
18,deer
19,airplane
20,deer
21,airplane
22,ship
23,frog
24,automobile
25,frog
26,automobile
27,automobile
28,cat
29,cat
30,cat
31,cat
32,horse
33,dog
34,frog
35,deer
36,cat
37,cat
38,bird
39,ship
40,cat
41,cat
42,deer
43,truck
44,deer
45,horse
46,automobile
47,deer
48,bird
49,airplane
50,truck
51,frog
52,horse
53,cat
54,frog
55,ship
56,ship
57,cat
58,deer
59,airplane
60,airplane
61,dog
62,cat
63,deer
64,frog
65,ship
66,truck
67,airplane
68,horse
69,cat
70,bird
71,truck
72,bird
73,truck
74,cat
75,cat
76,horse
77,airplane
78,cat
79,horse
80,cat
81,bird
82,deer
83,ship
84,cat
85,deer
86,frog
87,dog
88,bird
89,frog
90,ship
91,automobile
92,airplane
93,cat
94,horse
95,automobile
96,frog
97,deer
98,airplane
99,truck
100,bird
101,deer
102,deer
103,cat
104,cat
105,ship
106,bird
107,automobile
108,deer
109,frog
110,frog
111,dog
112,bird
113,deer
114,airplane
115,truck
116,horse
117,truck
118,horse
119,airplane
120,cat
121,deer
122,truck
123,horse
124,cat
125,ship
126,cat
127,airplane
128,cat
129,ship
130,cat
131,airplane
132,truck
133,cat
134,cat
135,automobile
136,cat
137,cat
138,frog
139,bird
140,automobile
141,cat
142,dog
143,cat
144,deer
145,deer
146,automobile
147,frog
148,ship
149,horse
150,frog
151,truck
152,cat
153,dog
154,ship
155,truck
156,horse
157,bird
158,ship
159,frog
160,frog
161,cat
162,dog
163,frog
164,cat
165,frog
166,automobile
167,frog
168,cat
169,cat
170,cat
171,frog
172,frog
173,cat
174,frog
175,bird
176,airplane
177,cat
178,automobile
179,bird
180,automobile
181,frog
182,truck
183,deer
184,frog
185,frog
186,dog
187,ship
188,cat
189,cat
190,bird
191,automobile
192,ship
193,airplane
194,cat
195,truck
196,deer
197,automobile
198,cat
199,ship
200,frog
201,ship
202,cat
203,airplane
204,cat
205,airplane
206,bird
207,cat
208,deer
209,bird
210,cat
211,automobile
212,horse
213,horse
214,frog
215,cat
216,bird
217,dog
218,bird
219,cat
220,ship
221,frog
222,automobile
223,dog
224,deer
225,cat
226,deer
227,horse
228,dog
229,horse
230,horse
231,cat
232,deer
233,cat
234,cat
235,horse
236,frog
237,deer
238,deer
239,truck
240,airplane
241,automobile
242,dog
243,cat
244,cat
245,cat
246,horse
247,frog
248,truck
249,horse
250,ship
251,deer
252,ship
253,frog
254,airplane
255,cat
256,frog
257,frog
258,cat
259,deer
260,airplane
261,cat
262,automobile
263,horse
264,frog
265,frog
266,frog
267,cat
268,bird
269,bird
270,truck
271,dog
272,airplane
273,dog
274,dog
275,horse
276,cat
277,frog
278,horse
279,cat
280,dog
281,automobile
282,bird
283,cat
284,cat
285,cat
286,cat
287,ship
288,truck
289,bird
290,deer
291,automobile
292,bird
293,airplane
294,bird
295,ship
296,deer
297,cat
298,deer
299,ship
300,truck
301,frog
302,cat
303,frog
304,deer
305,frog
306,automobile
307,airplane
308,dog
309,frog
310,deer
311,automobile
312,frog
313,deer
314,truck
315,cat
316,cat
317,cat
318,cat
319,cat
320,frog
321,horse
322,horse
323,ship
324,dog
325,horse
326,ship
327,cat
328,dog
329,deer
330,truck
331,bird
332,airplane
333,bird
334,bird
335,cat
336,deer
337,dog
338,deer
339,cat
340,ship
341,ship
342,frog
343,cat
344,bird
345,ship
346,bird
347,automobile
348,horse
349,cat
350,truck
351,bird
352,truck
353,deer
354,cat
355,ship
356,frog
357,airplane
358,frog
359,airplane
360,dog
361,horse
362,airplane
363,airplane
364,cat
365,frog
366,dog
367,cat
368,cat
369,ship
370,deer
371,frog
372,frog
373,cat
374,airplane
375,truck
376,airplane
377,dog
378,frog
379,automobile
380,dog
381,truck
382,airplane
383,airplane
384,ship
385,cat
386,dog
387,ship
388,horse
389,cat
390,cat
391,frog
392,frog
393,bird
394,frog
395,frog
396,frog
397,frog
398,deer
399,dog
400,cat
401,automobile
402,truck
403,deer
404,truck
405,deer
406,airplane
407,automobile
408,truck
409,bird
410,bird
411,horse
412,deer
413,ship
414,airplane
415,automobile
416,frog
417,deer
418,cat
419,bird
420,cat
421,frog
